country_code,country,year,sanction_active,sanction_intensity_index,wellbeing_index,wellbeing_index_100,child_mortality_u5_z,school_enrollment_z,SE.PRM.NENR.FE_z,unemployment_rate_z,inflation_rate_z
PRT,PRT,1999,0.0,0.0,0.6233194402366233,98.05726898886392,0.7803192928424556,0.7833545914024055,0.8626584441261309,0.586227816216346,0.10403705659577817
PRT,PRT,2000,0.0,0.0,0.6424195040150734,98.17623540085097,0.7912875435709507,0.7358550254701031,0.8626584441261309,0.7262175913833907,0.09607891552479138
PRT,PRT,2001,0.0,0.0,0.6423083378348005,98.17554299260799,0.8044494444451448,0.7498367044293873,0.8626584441261309,0.7220523069993777,0.0725447891739618
PRT,PRT,2002,0.0,0.0,0.6254913730722076,98.07079706183391,0.8154176951736399,0.7638183833886715,0.8626584441261309,0.6010779605419575,0.08448438213063812
PRT,PRT,2003,0.0,0.0,0.5728839498317193,97.74312714096877,0.828579596047834,0.7778000623479556,0.8626584441261309,0.30498057063494827,0.09040107600172818
PRT,PRT,2004,0.0,0.0,0.5737496138749569,97.74851900491251,0.8395478467763291,0.7917817413072387,0.8626584441261309,0.2711149975997123,0.10364503956537341
PRT,PRT,2005,0.0,0.0,0.5323901281138271,97.4909078429968,0.846128797213426,0.8057634202665229,0.8626584441261309,0.04238655512108679,0.10501342384196852
PRT,PRT,2006,0.0,0.0,0.5258329852776215,97.4500661073273,0.8527097476505232,0.7914155551853282,0.8626584441261309,0.030252900611135922,0.09212827881498926
PRT,PRT,2007,0.0,0.0,0.5243678306697652,97.44094026415084,0.8570970479419211,0.8267877766650539,0.8626584441261309,-0.026974484838781437,0.10227036945450184
PRT,PRT,2008,0.0,0.0,0.546824840222136,97.58081570547886,0.8614843482333192,0.8621599981447783,0.8626584441261309,0.04763843543136401,0.10018297517508751
PRT,PRT,2009,0.0,0.0,0.4969056044336835,97.2698893944585,0.8636779983790183,0.8975322196245039,0.8626584441261309,-0.2926471888103917,0.1533065488491559
PRT,PRT,2010,0.0,0.0,0.44366859567650013,96.93829804532855,0.8658716485247173,0.9063694518966776,0.8626584441261309,-0.5351391796883646,0.11858261352333903
PRT,PRT,2011,0.0,0.0,0.35980734667140357,96.41596094663552,0.8680652986704162,0.8718419512787704,0.8626584441261309,-0.8871962597979827,0.08366729907968302
PRT,PRT,2012,0.0,0.0,0.26283536110783784,95.81196248256903,0.8680652986704162,0.8793254991660496,0.8626584441261309,-1.393187762795037,0.09731532637162953
PRT,PRT,2013,0.0,0.0,0.2426518331859362,95.68624761973084,0.8702589488161152,0.8692840007195038,0.8626584441261309,-1.5250280685150994,0.13608584078303007
PRT,PRT,2014,0.0,0.0,0.32356695815312114,96.19023452807242,0.8702589488161152,0.8384354589268813,0.8626584441261309,-1.0981769688142922,0.1446589077107706
PRT,PRT,2015,0.0,0.0,0.3470502014930842,96.33650195599202,0.8702589488161152,0.7681078010919768,0.7951666581307812,-0.8310554702743295,0.13277306970087657
PRT,PRT,2016,0.0,0.0,0.3741284562746423,96.50516122601326,0.8702589488161152,0.7148405807273297,0.7417377524645926,-0.5871146848280044,0.13091968419317826
PRT,PRT,2017,0.0,0.0,0.4726393981609471,97.11874521366985,0.8702589488161152,0.7763064749420624,0.7898402514767572,-0.19231816495199217,0.11910948052179277
PRT,PRT,2018,0.0,0.0,0.543493810639738,97.56006809739559,0.8724525989618143,0.7763064749420624,0.7898402514767572,0.15394373688421684,0.12492599093383948
PRT,PRT,2019,0.0,0.0,0.5652315353684264,97.69546341050714,0.8724525989618143,0.7763064749420624,0.7898402514767572,0.252461767532176,0.1350965839293222
PRT,PRT,2020,0.0,0.0,0.5512561200076288,97.60841631784884,0.8746462491075133,0.7763064749420624,0.7898402514767572,0.17495125812532586,0.14053636638648548
PRT,PRT,2021,0.0,0.0,0.5527272873354806,97.61757961177587,0.8768398992532124,0.7763064749420624,0.7898402514767572,0.19994296442940368,0.12070684657596778
PRT,PRT,2022,0.0,0.0,0.5535788486027812,97.6228836353505,0.8790335493989112,0.7763064749420624,0.7898402514767572,0.30389397470868396,0.018819992487491447
PRT,PRT,2023,0.0,0.0,0.5514665577746785,97.60972704782243,0.8790335493989112,0.7763064749420624,0.7898402514767572,0.23869821913282865,0.07345429392283324
